Prod,InqOrProj,ProjType,Type,Ind,IndSub,Replacement,NetValue,Date,LeadTime,CustNum,Outcome
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,2836,5/18/2015,5,30,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,25507,12/17/2014,10,30,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,283552,12/13/2014,32,30,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,79862,7/12/2014,16,352,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,29970,10/21/2014,12,69,Won
Ox,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,No,4662,2/24/2014,6,583,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,88800,9/19/2014,16,477,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,20590,4/10/2014,13,282,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,73753,3/6/2014,18,30,Won
Bear,INQUIRY,Eng/Eng,OEM,Construction Machinery (non-Mining),Construction Machinery Manufacturing,No,6702,6/4/2014,7,645,Won
Elephant,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,10931,1/8/2014,12,549,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,149580,12/1/2014,16,206,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,1134,2/5/2014,4.2,506,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,34926,3/28/2014,13,72,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,68999,4/24/2015,8,30,Lost
Yak1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,21867,2/5/2015,16,548,Lost
Brown Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,31653,5/4/2014,24,2,Lost
Rhino,PROJECT,Eng/Eng,OEM,General Industrial,Other General Industrial,No,871206,1/30/2015,20,147,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,15689,9/25/2014,14,452,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,89330,4/22/2014,18,77,Lost
Elephant,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,5458,3/24/2014,6,30,Lost
Ox,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,4364,2/3/2015,6,416,Lost
Elephant,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,14168,4/4/2014,6,2,Lost
Elephant,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,22200,11/6/2014,8,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,68374,3/6/2014,8,452,Won
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,62074,5/28/2014,17,452,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,34410,5/28/2014,18,590,Lost
Horse,INQUIRY,Std/Std,OEM,Energy,Compressors - Centrifugal,No,11711,3/11/2015,12,183,Won
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,13711,1/30/2015,6,206,Lost
Moose,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,58517,1/5/2015,28,452,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,69930,9/26/2014,16,30,Won
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,32478,11/4/2014,22,452,Won
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,4472,2/10/2015,10,77,Won
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,6493,11/3/2014,6,568,Lost
Panther,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,19980,3/11/2014,8,452,Won
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,43290,11/14/2014,13,452,Lost
Rhino,PROJECT,Eng/Eng,Intercompany,Intercompany,Intercompany,No,329683,11/19/2014,40,549,Lost
Elephant,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,4512,3/13/2015,6,645,Lost
Ox,PROJECT,Eng/Eng,Distributor,Distribution,Distributor,No,450826,10/8/2014,14,323,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,192491,1/22/2014,8,67,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,63422,5/12/2014,16,452,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,20377,3/5/2014,6,30,Lost
Elephant,INQUIRY,Eng/Eng,IC / End User,Unknown,Unknown,No,19849,2/10/2015,10,521,Won
Brown Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,23883,12/5/2014,22,138,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,5547,11/24/2014,8,30,Lost
Ox,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,131563,4/24/2015,15,554,Lost
Gorilla,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,8785,2/20/2014,12,549,Won
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,33267,7/22/2014,13,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,18251,3/25/2015,10,195,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,17260,12/27/2014,11,452,Lost
Ox,INQUIRY,Eng/Eng,OEM,Cement & Aggregates,Construction Machinery Manufacturing,Yes,29723,4/28/2014,8,39,Lost
Gorilla,INQUIRY,Eng/Eng,OEM,HVAC & Refrigeration,HVAC,Yes,7804,12/5/2014,12,512,Lost
Gorilla,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,14985,2/9/2015,9,528,Won
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,3105,3/4/2014,11,67,Lost
Yak1,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,20535,3/11/2014,22,567,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,11100,4/11/2014,8,641,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,13045,6/24/2014,15,528,Lost
Brown Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,24328,2/27/2015,22,269,Lost
Rhino,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,No,36012,7/28/2014,16,549,Lost
Brown Bear,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,28764,5/13/2014,24,549,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,15432,8/16/2014,13,206,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3548,7/1/2014,6,352,Lost
Rhino,PROJECT,Eng/Eng,OEM,General Industrial,Other General Industrial,No,961979,5/29/2014,18,104,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,8892,9/18/2014,6,452,Won
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,680,6/26/2014,5,452,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,21524,8/22/2014,7,452,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,7643,9/8/2014,6,30,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,49984,2/6/2015,13,30,Won
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,9439,12/3/2014,5,653,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,112329,1/29/2015,20,452,Won
Elephant,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,8881,2/24/2015,12,561,Won
Ox,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,9990,8/20/2014,8,366,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,27972,9/8/2014,6,186,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,55833,2/18/2015,17,452,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,17365,8/14/2014,6,452,Lost
Wolf,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,11324,3/19/2014,7,69,Lost
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,No,1547,10/25/2014,6,268,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,8058,6/21/2014,6,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,10693,5/7/2014,6,59,Lost
Armadillo1,PROJECT,Eng/Eng,OEM,Energy,Other,No,154015,8/12/2014,22,259,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,72134,2/14/2014,24,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,66310,3/4/2015,8,352,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,46550,11/10/2014,16,191,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,17787,9/19/2014,14,262,Lost
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,82362,9/26/2014,18,191,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,3986,8/29/2014,6,351,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,14929,9/25/2014,7,6,Lost
Brown Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,Yes,73082,2/28/2014,24,168,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,5049,2/3/2014,9,352,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,37056,3/31/2014,10,192,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,25404,6/5/2014,6,185,Lost
Ox,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,4724,12/26/2014,10,416,Lost
Gorilla,PROJECT,Eng/Eng,Intercompany,Intercompany,Intercompany,No,595964,10/1/2014,14,561,Lost
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,2720,5/15/2014,4.2,452,Lost
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,96763,1/29/2015,13,561,Lost
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,19002,5/14/2015,6,98,Lost
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,9364,6/10/2014,7,352,Lost
Horse,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,No,3023,7/30/2014,8,557,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,6999,4/25/2015,9,77,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,28492,2/3/2015,17,452,Lost
Panther,INQUIRY,Eng/Eng,OEM,General Industrial,Textile,Yes,66600,7/14/2014,24,581,Won
Brown Bear,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,42180,5/27/2015,11,549,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,8578,6/21/2014,10,67,Lost
Ox,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,17005,7/9/2014,9,2,Lost
Armadillo1,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,132090,7/16/2014,20,2,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,4836,9/11/2014,8,452,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,63277,1/16/2014,8,452,Lost
Rhino,PROJECT,Eng/Eng,Distributor,Distribution,Distributor,No,294297,5/15/2015,16,452,Won
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,6221,2/6/2014,10,452,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,10656,3/18/2014,6,88,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,9880,5/19/2014,10,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,32998,11/15/2014,17,549,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,11636,2/19/2014,6,352,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,41599,5/12/2014,16,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,10780,11/18/2014,9,72,Lost
Brown Bear,INQUIRY,Eng/Eng,OEM,Energy,Other,Yes,52577,3/24/2015,22,230,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,86444,5/14/2015,18,452,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,19425,2/18/2014,10,452,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,610,2/5/2015,5,323,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,1082,5/2/2014,6,452,Lost
Bear,PROJECT,Eng/Eng,Intercompany,Intercompany,Intercompany,No,5222,12/29/2014,6,557,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,34179,3/31/2014,22,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,37181,7/23/2014,10,75,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,163510,4/15/2014,40,250,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,99224,7/26/2014,16,452,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,13131,6/12/2014,14,30,Lost
Rhino,PROJECT,Std/Std,Distributor,Distribution,Distributor,No,83250,8/8/2014,16,85,Lost
Gorilla,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Pumping / Fluid Handling Equipment,Yes,165476,4/1/2015,20,695,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3723,5/21/2014,14,30,Lost
Wolf,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,5361,2/5/2014,6,452,Won
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3275,2/17/2015,6,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,33981,5/13/2015,20,549,Lost
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,12320,10/3/2014,8,30,Lost
Yak2,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,177600,12/22/2014,18,2,Lost
Rhino,PROJECT,Std/Std,Distributor,Distribution,Distributor,No,321900,7/15/2014,15,85,Lost
Bear,INQUIRY,Eng/Eng,IC / End User,Distribution,Distributor,No,12138,3/21/2015,12,313,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,44217,5/7/2014,18,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,5494,5/9/2015,8,30,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,10354,11/20/2014,6,414,Won
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,4907,1/8/2015,10,452,Lost
Moose,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,57787,5/13/2014,30,452,Lost
Rhino,PROJECT,Eng/Eng,OEM,General Industrial,Material Handling,No,286343,3/27/2014,16,168,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,10680,4/20/2015,6,452,Won
Bear,INQUIRY,Eng/Eng,OEM,Construction Machinery (non-Mining),Construction Machinery Manufacturing,No,7761,7/10/2014,6,645,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,44400,8/28/2014,16,110,Lost
Armadillo2,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,29669,2/20/2014,22,161,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,10656,12/23/2014,6,452,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,11377,5/22/2014,20,72,Lost
Horse,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,4728,4/24/2015,6,30,Lost
Ox,INQUIRY,Eng/Eng,OEM,Wood Products,Sawmilling and Planing,Yes,4303,12/5/2014,9,145,Won
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,23438,8/1/2014,13,394,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,82692,1/8/2015,18,352,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,59927,8/22/2014,20,452,Lost
Brown Bear,INQUIRY,Eng/Eng,OEM,Energy,Compressors - Reciprocating,No,22295,4/14/2014,22,671,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,54150,5/22/2015,24,352,Lost
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,5909,3/7/2014,6,645,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,9435,3/28/2014,12,110,Lost
Ox,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,62999,1/15/2014,12,561,Won
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,2769,4/9/2015,5,452,Lost
Wolf,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,9324,1/10/2014,10,86,Lost
Wolf,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,16317,12/15/2014,10,47,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,41452,7/10/2014,15,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,23302,2/11/2014,6,452,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3885,8/25/2014,8,30,Lost
Rhino,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,4016965,7/25/2014,20,342,Lost
Yak1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,108975,2/4/2015,20,432,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,172605,12/2/2014,36,250,Lost
Gorilla,INQUIRY,Eng/Eng,OEM,HVAC & Refrigeration,HVAC,Yes,4509,4/15/2015,13,512,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,64317,6/23/2014,18,634,Won
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3314,2/13/2015,6,644,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,35921,3/27/2014,17,452,Lost
Elephant,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,2092,10/2/2014,6,549,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,30707,3/17/2014,14,30,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,11353,5/2/2014,6,452,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,598,4/6/2015,5,30,Lost
Armadillo1,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,98551,1/15/2015,17,169,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,7557,5/6/2015,7,29,Lost
Armadillo1,PROJECT,Eng/Eng,Distributor,Distribution,Distributor,No,417111,4/24/2014,26,352,Lost
Horse,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,6117,10/24/2014,5,2,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,156845,12/10/2014,30,30,Lost
Brown Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,134310,7/2/2014,20,543,Lost
Horse,INQUIRY,Std/Std,IC / End User,Other Food and Beverage,Other Food & Beverage Process,No,144365,1/21/2014,6,114,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,85262,4/23/2014,24,186,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,10740,12/15/2014,7,452,Lost
Elephant,INQUIRY,Std/Std,OEM,General Industrial,Textile,Yes,18870,2/11/2015,6,151,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,27750,4/11/2014,12,452,Lost
Elephant,INQUIRY,Eng/Eng,OEM,Construction Machinery (non-Mining),Construction Machinery Manufacturing,No,12267,8/5/2014,10,645,Won
Wolf,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,49950,1/28/2014,12,311,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,16095,10/24/2014,12,452,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,22755,3/3/2014,18,452,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,136474,1/15/2015,15,452,Won
Badger,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,85767,12/29/2014,20,561,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3108,4/1/2014,8,30,Lost
Brown Bear,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,23995,8/15/2014,20,213,Lost
Ox,INQUIRY,Eng/Eng,IC / End User,Unknown,Unknown,No,11626,2/27/2015,7,312,Lost
Rhino,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,44400,7/11/2014,16,2,Lost
Rhino,PROJECT,Eng/Eng,Distributor,Distribution,Distributor,No,618387,5/28/2014,20,311,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,4125,10/30/2014,6,452,Lost
Wolf,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,14430,9/9/2014,10,366,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,14247,4/21/2014,13,30,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,103192,8/13/2014,18,72,Lost
Yak2,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,265356,12/2/2014,24,2,Lost
Elephant,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,No,3330,3/5/2015,6,548,Lost
Armadillo1,INQUIRY,Eng/Eng,OEM,Pulp & Paper,Pulp and Paper Production,No,57308,3/7/2014,16,263,Lost
Wolf,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,1299,2/10/2014,10,149,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,10008,5/8/2014,8,351,Won
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,6419,1/19/2015,14,210,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3275,9/16/2014,6,30,Won
Elephant,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,10154,3/7/2014,5,550,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,322744,7/9/2014,36,123,Lost
Ox,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,No,2609,1/24/2015,7,550,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,39804,1/25/2015,12,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,4396,5/23/2014,6,30,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,21783,9/10/2014,20,452,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,74952,1/6/2015,15,644,Lost
Wolf,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,No,34410,3/12/2014,10,213,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,13123,5/26/2015,22,352,Won
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,207629,4/25/2014,16,394,Lost
Panther,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,2413,5/30/2014,10,2,Lost
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,No,2664,4/8/2015,10,507,Lost
